"SIGLA_UF","n_cattle","n_cattle_sd","pasture_201819_tot","pasture_201819_perc","defo_abs_13_17","defo_perc_wo_refo_13_17","defo_buffer_abs_13_17","defo_buffer_perc_13_17","mod_deg_sum_201819","mod_deg_perc_201819","sev_deg_sum_201819","sev_deg_perc_201819","crop_201819_tot","crop_201819_perc","agricultural_credits","mean_mun_msg4_1317","area","buffer_forest_tot_2013","precipitation_2018_19","mean_temp_18_19","population","nearest_fedSh","IBGE_CODE","outline_id","imagedate","stocking_rate"
"AC",5,0.12,12.0969,100,0,0,744.8699,2.043,1.4117,11.67,0,0,0,0,4123.69234,0,12.07,57.320713,0.402445620612094,33.3413600023281,15.256,77.2405462148379,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.537327745124784
"AC",27,0.129874372426879,41.29,98.13,0,0,678.8176,1.781,14.138,33.6,0,0,0,0,4123.69234,0,41.985,63.201488,0.402445620612094,33.3413600023281,15.256,73.7273058081393,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.850084766287237
"AC",5,0.136907376701021,20.794,89.1,0,0,726.6664,1.946,13.9286,61.04,1.6346,7.16,0,0,4123.69234,0,22.768,57.596981,0.402445620612094,33.3413600023281,15.256,75.846313139392,"1200013","AC_1200013_2",2020-05-16 19:00:00,0.312590170241416
"AC",15,0.0317820695913084,53.8954,56.87,4.5259,2.672,1539.0951,4.059,0,0,0,0,0,0,4123.69234,0,94.551,60.862803,0.402445620612094,33.3413600023281,15.256,81.8503600497642,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.361811954266969
"AC",90,0.0882484804296619,113.0727,68.45,0,-0.644,795.076,1.926,37.3442,22.61,0,0,0,0,4123.69234,0,164.784,67.370942,0.402445620612094,33.3413600023281,15.256,79.4302365369459,"1200013","AC_1200013_5",2019-07-10 19:00:00,1.03473252164316
"AC",34,0.0866573287008837,30.6648,100,0,0,771.1198,2.064,5.2819,17.22,0,0,0,0,4123.69234,0,30.597,59.424562,0.402445620612094,33.3413600023281,15.256,76.8964360948283,"1200013","AC_1200013_2",2020-05-16 19:00:00,1.44139208473559
"AC",11,0.0647213595499958,40.0237,99.9,0,0,969.8197,2.629,29.8442,74.49,7.498,18.71,0,0,4123.69234,0,39.976,65.868325,0.402445620612094,33.3413600023281,15.256,81.7935849808581,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.357288306678293
"AC",22,0.0475791688659749,39.5833,100,0,0,587.2813,1.534,24.6951,62.39,0,0,0,0,4123.69234,0,39.495,62.140825,0.402445620612094,33.3413600023281,15.256,78.9791526449591,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.722526924233199
"AC",11,0.0166666666666667,37.4606,90.29,0.1713,-1.205,1583.7568,4.271,0,0,0,0,0,0,4123.69234,0,41.399,61.690433,0.402445620612094,33.3413600023281,15.256,82.4251938654348,"1200013","AC_1200013_6",2019-07-11 19:00:00,0.381734408952339
"AC",8,0.0355959179422654,40.742,98.86,0,-0.088,563.9093,1.472,0,0,0,0,0,0,4123.69234,0,41.12,63.291303,0.402445620612094,33.3413600023281,15.256,78.541461360495,"1200013","AC_1200013_5",2019-07-10 19:00:00,0.255264837268666
